CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1_EC2_EC3_EC4_EC5_EC6
C00638,9.639305556,-0.648148148,9.639305556,0.337777778,0.51423342,73.071,68.031,73.0289544,29,2.2,2.8,2.8,2.83125711,52.7548875,4.991563832,2.769675448,2.769675448,2.77005561,1.281284334,1.281284334,0.643738543,0.643738543,0.213865472,0.213865472,0.0,0.0,-0.53,2.693713647,1.05951799,1.229051943,30.42489111,0.0,0.0,0.0,0.0,29.21492869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.901064579,5.969305288,0.0,0.0,13.34455882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.07583268,4.794537184,0.0,6.420821623,0.0,0.0,37.3,5.969305288,4.794537184,0.0,6.420821623,6.9237372,0.0,0.0,0.0,5.106527395,0.337777778,0.0,18.32888889,0.666666667,5,1,2,0,0,0,0,0,0,1,1,3,2,0,0,0,0.4287,17.0598,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_1_0_1
C00642,10.1911352,-0.865102041,10.1911352,0.000277778,0.664694085,152.149,144.085,152.0473441,58,1.272727273,1.818181818,2.272727273,2.736298072,250.5446101,8.267584714,5.819183339,5.819183339,5.18154055,3.179811727,3.179811727,2.236962419,2.236962419,1.291690175,1.291690175,0.788419487,0.788419487,-1.51,7.595374078,3.053138101,2.292303973,63.91127695,10.21305479,5.749511833,0.0,0.0,5.969305288,4.794537184,0.0,0.0,0.0,12.13273414,17.69618563,0.0,6.420821623,15.00759197,5.969305288,0.0,0.0,6.420821623,0.0,29.82891977,5.749511833,0.0,0.0,5.749511833,0.0,16.18236008,11.21535881,0.0,5.563451492,24.26546827,0.0,57.53,5.969305288,4.794537184,12.17033346,5.563451492,0.0,12.13273414,12.13273414,0.0,10.21305479,0.0,0.0,33.5,0.125,11,2,3,0,0,0,1,0,1,2,2,3,2,0,0,1,1.0193,39.4466,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1_0_0_1_0_1
C07086,10.16870748,-0.785925926,10.16870748,0.111944444,0.665180233,136.15,128.086,136.0524295,52,1.3,1.9,2.4,2.674241602,215.9590175,7.397341226,5.449320013,5.449320013,4.7876937,3.045521327,3.045521327,2.056113798,2.056113798,1.198174533,1.198174533,0.770482128,0.770482128,-1.31,6.805074799,3.011779445,1.895375402,59.1170432,5.106527395,0.0,0.0,0.0,5.969305288,4.794537184,0.0,0.0,0.0,30.33183534,5.563451492,0.0,6.420821623,9.901064579,5.969305288,0.0,0.0,6.420821623,0.0,35.89528683,0.0,0.0,0.0,0.0,0.0,11.07583268,11.21535881,0.0,5.563451492,30.33183534,0.0,37.3,5.969305288,4.794537184,6.420821623,0.0,5.563451492,0.0,12.13273414,0.0,5.106527395,0.0,0.0,27.83333333,0.125,10,1,2,0,0,0,1,0,1,1,1,2,2,0,0,1,1.3137,37.7818,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_1_0_1
C00669,11.1869668052,-1.1974261026,11.1869668052,0.0356572814,0.3561693576,250.276,236.164,250.062342548,92,1.25,1.8125,2.1875,3.9881359923,283.6022351608,12.7151784707,8.419756809,9.314184,7.3791165153,4.4952225059,5.1276780379,3.124317489,3.4894658606,1.8154896747,2.1806380464,0.862043625,1.1095159752,-1.28,14.72,7.0696985972,5.5643558948,97.4116991772,21.2635108708,12.0836816583,0.0,5.9071797294,11.9386105759,9.5890743681,4.7945371841,12.628789148,0.0,0.0,6.4208216229,12.1736752297,0.0,24.5966663419,30.4745794533,5.316788604,5.7336674772,24.9253249041,5.7528536067,0.0,0.0,11.0504560812,0.0,0.0,12.628789148,45.89538036,14.3836115522,0.0,12.8416432459,0.0,0.0,129.72,29.9294719636,14.3836115522,18.5944968526,0.0,0.0,0.0,0.0,17.945577752,15.9467222668,0.0,0.0,51.1322643018,0.625,16,5,7,0,0,0,0,0,0,5,5,8,7,0,0,0,-1.3223,58.2647,2,0,0,0,0,2,2,3,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_1_0_1
