CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1_EC2_EC3_EC4_EC5_EC6
C02350,10.65546296,-1.041666667,10.65546296,0.616851852,0.325138149,158.117,152.069,158.0439901,60,1.545454546,2.181818182,2.545454546,2.534438673,225.3770603,8.43072142,5.37944541,5.37944541,5.092224153,2.767072974,2.767072974,1.904313522,1.904313522,1.060947936,1.060947936,0.660681189,0.660681189,-1.79,7.318577633,2.445727413,1.567971634,61.30228977,16.36724469,0.0,6.165775612,0.0,12.06222902,10.11132579,9.589074368,0.0,0.0,0.0,0.0,0.0,0.0,14.38361155,17.96940875,15.95036581,5.733667477,6.165775612,0.0,0.0,0.0,21.68403329,9.589074368,0.0,0.0,24.13518437,4.794537184,0.0,0.0,0.0,0.0,113.32,24.13518437,14.38361155,0.0,0.0,0.0,0.0,0.0,5.316788604,5.733667477,0.0,0.0,38.83333333,0.25,11,5,7,0,1,1,0,0,0,3,4,7,1,1,1,1,-2.1798,33.1815,0,0,0,0,0,0,0,3,3,0,3,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0_0_1_0_1_0
C02837,10.77796296,-0.256944444,10.77796296,0.006944444,0.466708895,128.175,116.079,128.094963,52,1.555555556,2.333333333,3.111111111,2.414585403,113.6254878,6.690234444,5.391375954,5.391375954,4.304530453,3.337934294,3.337934294,2.393302454,2.393302454,1.577906052,1.577906052,0.963027635,0.963027635,-0.57,6.548623962,2.823853375,1.676856938,54.60940543,11.05045608,0.0,0.0,5.907179729,0.0,4.794537184,0.0,0.0,0.0,0.0,19.26246487,6.544756406,6.041840829,4.794537184,5.907179729,5.316788604,5.733667477,25.3043057,6.544756406,0.0,0.0,11.05045608,0.0,0.0,0.0,18.49377696,4.794537184,0.0,19.26246487,0.0,0.0,55.12,0.0,4.794537184,11.94902056,0.0,25.80722127,0.0,0.0,5.316788604,5.733667477,0.0,0.0,22.5,0.833333333,9,3,3,0,1,1,0,0,0,2,2,3,0,1,1,1,-0.3862,34.8361,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_1_0
C03190,11.63394227,-5.053411242,11.63394227,0.027984103,0.682785822,314.211,294.051,314.0684262,112,1.157894737,1.736842105,2.105263158,2.141792011,470.4986263,14.69023444,11.14508202,12.9339364,8.374556993,6.154221721,9.179963579,6.245289168,9.027570389,5.183938345,7.381188388,3.604116724,5.473678236,0.26,15.64512175,4.375399774,2.703229202,111.7210808,14.68023481,0.0,0.0,0.0,15.64539425,4.523747162,9.13009657,4.31063137,0.0,20.7712116,36.01035185,0.0,6.103966388,32.64470991,15.64539425,0.0,16.74788699,46.13764286,0.0,0.0,0.0,0.0,0.0,0.0,15.64539425,20.7842012,17.9644751,16.74788699,40.03367647,0.0,0.0,113.29,21.74936063,14.02350817,10.82998094,12.33872767,12.84164325,0.0,0.0,18.15810577,14.31057037,0.0,31.18912624,25.08865154,1.0,19,3,7,2,0,2,0,0,0,4,3,9,4,0,2,2,2.4275,67.0564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0_0_1_0_1_0
C15650,10.92297682,-4.663426665,10.92297682,0.060038423,0.477772346,242.189,231.101,242.0013957,82,1.357142857,1.928571429,2.357142857,3.851987906,259.047344,11.19023444,7.504202582,9.215126354,6.365190624,3.616102003,6.540245596,2.353165913,4.578117264,1.208071277,2.285892521,0.557387494,1.232336077,-0.2,13.8,6.314739229,7.227221172,85.26173923,9.786823206,6.606881965,0.0,11.56648989,7.822697123,14.11282153,4.565048285,11.76188495,0.0,0.0,6.255769184,12.17367523,0.0,28.46469302,31.15107197,0.0,0.0,6.420821623,18.61550475,0.0,0.0,0.0,0.0,0.0,19.58458207,39.96881785,18.67786981,0.0,6.420821623,0.0,0.0,100.9,25.99606898,14.15412265,6.420821623,5.752853607,0.0,11.76188495,6.255769184,4.523747162,9.786823206,0.0,14.05863247,33.51001655,0.666666667,14,2,6,0,0,0,0,0,0,5,2,8,7,0,0,0,-0.013,51.0091,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0_0_1_0_1_0
