CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1_EC2_EC3_EC4_EC5_EC6
C00087,0.0,0.0,0.0,0.0,0.367520858,32.067,32.067,31.972071,6,1.0,1.0,1.0,0.0,0.0,0.0,0.408248291,1.224744871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.35,1.207142857,7.778571429,14.56133221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49569335,0.0,0.0,13.49569335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6482,7.591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_0_0_0
C00178,10.56425926,-0.467037037,10.56425926,0.334490741,0.485781309,126.115,120.067,126.0429274,48,1.444444444,2.111111111,2.555555556,3.523897719,309.2243005,6.853371151,4.89384685,4.89384685,4.198377303,2.48559856,2.48559856,1.754936127,1.754936127,1.004987977,1.004987977,0.477130678,0.477130678,-1.32,5.810208333,1.889429225,1.072463408,50.5586854,4.983978521,0.0,0.0,0.0,5.689743398,9.778515705,4.794537184,0.0,0.0,0.0,6.9237372,11.76029506,0.0,0.0,0.0,9.967957042,0.0,6.9237372,0.0,32.59837972,0.0,11.24901029,0.0,0.0,0.0,9.967957042,0.0,6.9237372,5.563451492,15.78591794,0.0,65.72,5.689743398,9.589074368,5.559266895,5.563451492,0.0,6.196843572,6.9237372,9.967957042,0.0,0.0,0.0,28.0,0.2,9,2,4,0,0,0,0,1,1,2,2,4,0,0,0,1,-0.62838,32.4204,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_0_0_0
C00193,10.00648148,0.729166667,10.00648148,0.729166667,0.495636268,106.124,100.076,106.0418648,40,1.125,1.75,2.125,2.991046915,167.001517,5.819990956,4.372349906,4.372349906,3.931851653,2.435060998,2.435060998,1.528534733,1.528534733,0.935655255,0.935655255,0.531606339,0.531606339,-1.11,5.035137881,2.262450086,0.936277399,47.95786733,0.0,6.286160523,0.0,0.0,0.0,4.794537184,0.0,0.0,0.0,30.33183534,0.0,5.563451492,0.0,4.794537184,6.286160523,0.0,0.0,0.0,0.0,35.89528683,0.0,0.0,0.0,0.0,0.0,6.286160523,0.0,0.0,10.35798868,30.33183534,0.0,17.07,0.0,4.794537184,0.0,0.0,11.84961201,0.0,12.13273414,0.0,0.0,0.0,0.0,20.66666667,0.0,8,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1.4991,31.8295,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_0_0_0
C00233,10.3537037,-1.329907407,10.3537037,0.132962963,0.571525741,130.143,120.063,130.0629942,52,1.444444444,1.888888889,2.0,3.647424692,126.2646625,7.439157589,5.548167227,5.548167227,4.03658126,2.798357308,2.798357308,2.326299895,2.326299895,0.832179635,0.832179635,0.458101025,0.458101025,-0.86,8.14,3.222126321,3.70022409,53.68123955,5.106527395,0.0,0.0,5.783244946,5.969305288,4.794537184,4.794537184,0.0,0.0,13.8474744,5.917906046,6.420821623,0.0,14.69560176,11.75255023,0.0,5.917906046,20.26829602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.85907763,9.589074368,5.917906046,20.26829602,0.0,0.0,54.37,11.75255023,9.589074368,12.33872767,0.0,0.0,0.0,13.8474744,0.0,5.106527395,0.0,0.0,30.16666667,0.666666667,9,1,3,0,0,0,0,0,0,2,1,3,3,0,0,0,0.6862,32.0978,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1_0_0_0_0_0
C00237,7.5,4.5,7.5,4.5,0.262188256,28.01,28.01,27.99491462,10,1.5,1.5,1.5,3.0,6.754887502,2.0,0.908248291,0.908248291,1.0,0.204124145,0.204124145,0.0,0.0,0.0,0.0,0.0,0.0,-0.26,1.74,0.74,-6.106153846,12.61969834,0.0,0.0,0.0,0.0,11.3025385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652174825,0.0,0.0,0.0,0.0,0.0,6.650363675,0.0,0.0,0.0,0.0,0.0,0.0,4.652174825,6.650363675,0.0,0.0,0.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.650363675,4.652174825,0.0,7.5,4.5,0.0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.03751,3.9295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_0_0_0
C00244,8.361111111,-1.5,8.361111111,1.5,0.308506182,63.012,62.004,62.99564289,24,2.0,2.0,2.0,2.803039488,26.26466251,3.577350269,1.710923772,1.710923772,1.732050808,0.565148372,0.565148372,0.237834915,0.237834915,0.0,0.0,0.0,0.0,-0.8,3.2,0.654545455,0.075,21.77555689,5.207253025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.11431827,0.0,0.0,0.0,0.0,10.29387207,0.0,0.0,0.0,0.0,0.0,10.11431827,0.0,0.0,0.0,0.0,0.0,10.29387207,0.0,10.11431827,0.0,0.0,0.0,63.37,5.086619043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.32157129,0.0,0.0,22.0,0.0,4,1,4,0,0,0,0,0,0,2,1,4,0,0,0,0,-0.3477,8.7809,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_0_0_0
C00261,10.00648148,0.729166667,10.00648148,0.729166667,0.495636268,106.124,100.076,106.0418648,40,1.125,1.75,2.125,2.991046915,167.001517,5.819990956,4.372349906,4.372349906,3.931851653,2.435060998,2.435060998,1.528534733,1.528534733,0.935655255,0.935655255,0.531606339,0.531606339,-1.11,5.035137881,2.262450086,0.936277399,47.95786733,0.0,6.286160523,0.0,0.0,0.0,4.794537184,0.0,0.0,0.0,30.33183534,0.0,5.563451492,0.0,4.794537184,6.286160523,0.0,0.0,0.0,0.0,35.89528683,0.0,0.0,0.0,0.0,0.0,6.286160523,0.0,0.0,10.35798868,30.33183534,0.0,17.07,0.0,4.794537184,0.0,0.0,11.84961201,0.0,12.13273414,0.0,0.0,0.0,0.0,20.66666667,0.0,8,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,1.4991,31.8295,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_0_0_0
C00262,10.86175926,-0.216435185,10.86175926,0.216435185,0.519236857,136.114,132.082,136.0385107,50,1.2,2.0,2.8,3.09291205,400.9401974,6.974691495,4.95737602,4.95737602,4.877010098,2.745085789,2.745085789,1.831410655,1.831410655,1.223590315,1.223590315,0.775855088,0.775855088,-1.65,5.159860162,1.662923452,0.539770508,55.14269412,9.967957042,0.0,11.16387794,0.0,0.0,4.794537184,9.967957042,0.0,0.0,0.0,0.0,0.0,12.65464015,0.0,11.16387794,19.93591408,0.0,0.0,0.0,23.00844423,0.0,5.559266895,0.0,0.0,0.0,19.93591408,0.0,0.0,0.0,17.44917733,11.16387794,74.43,0.0,4.794537184,5.559266895,11.16387794,0.0,12.65464015,0.0,19.93591408,0.0,0.0,0.0,27.0,0.0,10,2,5,0,0,0,0,2,2,3,2,5,0,0,0,2,-0.3538,34.5094,0,0,0,4,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_0_0_0
C00265,8.751157407,-0.739969136,8.751157407,0.279490741,0.416576043,154.256,144.176,154.0122216,50,1.0,1.25,1.375,3.292478156,52.0,6.568914101,4.357768483,6.146622865,3.718744015,2.298683226,3.56359429,1.499843661,2.230140405,0.818269671,1.566505325,0.243352103,0.730056308,0.62,8.62,4.494241633,2.813948138,59.7326782,10.21305479,0.0,0.0,0.0,0.0,0.0,0.0,25.2575783,0.0,0.0,0.0,11.50570721,12.20793278,10.21305479,25.2575783,0.0,0.0,12.20793278,11.50570721,0.0,0.0,0.0,0.0,0.0,25.2575783,33.92669478,0.0,0.0,0.0,0.0,0.0,40.46,12.20793278,0.0,11.50570721,0.0,0.0,0.0,0.0,25.2575783,10.21305479,0.0,0.0,16.58135802,1.0,8,2,2,0,0,0,0,0,0,4,4,4,3,0,0,0,-0.4322,39.7196,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_0_0_0
C00266,8.923611111,-0.361111111,8.923611111,0.361111111,0.401210923,60.052,56.02,60.02112937,24,2.0,2.25,2.25,2.296835262,18.0,3.414213562,2.139918936,2.139918936,1.914213562,0.960178317,0.960178317,0.349240853,0.349240853,0.074535599,0.074535599,0.0,0.0,-0.37,3.63,2.63,1.63,24.05994899,9.901064579,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.606881965,9.901064579,6.286160523,0.0,0.0,0.0,6.606881965,0.0,0.0,0.0,0.0,0.0,0.0,17.99956988,4.794537184,0.0,0.0,0.0,0.0,37.3,0.0,0.0,6.606881965,6.286160523,0.0,0.0,0.0,0.0,9.901064579,0.0,0.0,16.5,0.5,4,1,2,0,0,0,0,0,0,2,1,2,1,0,0,0,-0.8224,13.1498,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_0_0_0
