CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1_EC2_EC3_EC4_EC5_EC6
C00027,6.0,6.0,6.0,6.0,0.292487473,34.014,31.998,34.0054793,14,1.0,1.0,1.0,1.0,0.0,2.0,0.894427191,0.894427191,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,-0.08,1.92,0.92,-14.58,11.89207173,0.0,0.0,0.0,0.0,0.0,10.51447079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51447079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51447079,0.0,0.0,0.0,0.0,0.0,40.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51447079,0.0,0.0,12.0,0.0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0.0174,5.2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_1_0_0
C00084,8.805555556,0.75,8.805555556,0.75,0.355007613,44.053,40.021,44.02621475,18,2.0,2.0,2.0,2.187496097,10.26466251,2.707106781,1.98559856,1.98559856,1.414213562,0.81305253,0.81305253,0.23570226,0.23570226,0.0,0.0,0.0,0.0,-0.33,2.67,1.67,1.67,19.26571524,4.794537184,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9237372,0.0,0.0,4.794537184,6.286160523,0.0,0.0,6.9237372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523,4.794537184,0.0,6.9237372,0.0,0.0,17.07,0.0,0.0,0.0,0.0,6.286160523,6.9237372,0.0,0.0,4.794537184,0.0,0.0,11.0,0.5,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.2052,11.738,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_1_0_0
C00254,11.01178855,-1.672641723,11.01178855,0.669259259,0.443382854,226.184,216.104,226.047738,86,1.125,1.625,2.0,2.964158443,378.1134351,12.34493498,8.160243785,8.160243785,7.371515126,4.435575305,4.435575305,3.459450946,3.459450946,2.271405785,2.271405785,1.337629721,1.337629721,-1.95,12.12117438,4.276420524,2.34474783,90.5059604,15.31958218,5.414990469,0.0,5.783244946,11.93861058,9.589074368,4.794537184,0.0,0.0,24.30408043,0.0,6.420821623,6.103966388,29.70319374,17.72185552,0.0,5.414990469,12.52478801,0.0,24.30408043,0.0,0.0,0.0,0.0,0.0,39.14540409,14.38361155,5.414990469,6.420821623,24.30408043,0.0,111.9,35.661634,14.38361155,0.0,0.0,12.15204021,12.15204021,0.0,0.0,15.31958218,0.0,0.0,56.08333333,0.3,16,3,6,1,0,1,0,0,0,4,3,6,4,0,0,1,-0.4119,51.6154,2,1,1,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1_0_0_1_0_0
C00479,9.173611111,0.638888889,9.173611111,0.638888889,0.403259903,58.08,52.032,58.04186481,24,2.0,2.25,2.25,2.296835262,17.2451125,3.414213562,2.692705341,2.692705341,1.914213562,1.351057332,1.351057332,0.574914957,0.574914957,0.166666667,0.166666667,0.0,0.0,-0.33,3.67,2.67,1.67,25.63065736,4.794537184,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9237372,0.0,6.420821623,0.0,4.794537184,6.286160523,0.0,0.0,13.34455882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.286160523,4.794537184,0.0,13.34455882,0.0,0.0,17.07,0.0,4.794537184,0.0,6.420821623,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.666666667,4,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0.5953,16.355,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_1_0_0
C00628,10.30287037,-1.26537037,10.30287037,0.18037037,0.522491225,154.121,148.073,154.0266087,58,1.272727273,1.909090909,2.363636364,3.23220887,292.4920898,8.43072142,5.481939885,5.481939885,5.109060905,2.86297841,2.86297841,2.006604567,2.006604567,1.210545095,1.210545095,0.695328144,0.695328144,-1.71,7.397642627,2.494362825,1.402945662,62.34056859,15.31958218,17.06247516,0.0,0.0,5.969305288,0.0,4.794537184,0.0,0.0,0.0,18.19910121,0.0,0.0,20.11411937,5.969305288,0.0,0.0,0.0,0.0,23.7625527,11.49902367,0.0,0.0,11.49902367,0.0,21.28888747,0.0,0.0,10.35798868,18.19910121,0.0,77.76,5.969305288,4.794537184,17.06247516,0.0,12.13273414,6.066367069,0.0,0.0,15.31958218,0.0,0.0,37.66666667,0.0,11,3,4,0,0,0,1,0,1,3,3,4,1,0,0,1,0.796,36.7309,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1_0_0_1_0_0
C00779,11.42642668,-0.711851852,11.42642668,0.033070673,0.564410739,194.186,184.106,194.0579088,74,1.214285714,1.928571429,2.642857143,2.587286898,397.3536262,10.29252874,7.396153447,7.396153447,6.575387401,4.337840531,4.337840531,3.484267642,3.484267642,2.3393674,2.3393674,1.794089503,1.794089503,-1.55,9.022684181,2.989864061,1.333916224,80.42956378,15.31958218,11.49902367,5.783244946,0.0,0.0,4.794537184,0.0,0.0,0.0,0.0,18.05064018,12.48718869,11.66741788,20.11411937,5.783244946,0.0,0.0,18.94560963,0.0,23.25963712,11.49902367,0.0,0.0,11.49902367,0.0,27.20679352,6.420821623,0.0,22.34226179,12.13273414,0.0,77.76,6.103966388,20.11411937,29.26654173,11.98427311,6.066367069,6.066367069,0.0,0.0,0.0,0.0,0.0,41.66666667,0.3,14,3,4,1,0,1,1,0,1,4,3,4,0,0,0,2,0.5876,48.4299,0,1,1,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,2,2,0,0,0,0,1_0_0_1_0_0
C01149,9.883761338,0.703888889,9.883761338,0.703888889,0.310426221,130.211,114.083,130.1226406,54,1.333333333,1.888888889,2.222222222,3.167107918,83.40716557,7.328427125,6.554132499,6.554132499,4.060660172,3.301819103,3.301819103,3.322826074,3.322826074,1.150909552,1.150909552,0.648962075,0.648962075,-0.37,8.63,3.616587863,7.63,57.06023097,9.277568042,6.286160523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.84164325,27.68777235,9.277568042,6.286160523,0.0,0.0,12.84164325,27.68777235,0.0,0.0,0.0,0.0,0.0,0.0,38.45696373,4.794537184,0.0,12.84164325,0.0,0.0,17.07,0.0,4.794537184,0.0,6.420821623,23.73476941,0.0,0.0,21.14301595,0.0,0.0,0.952222222,20.04777778,0.857142857,9,0,2,0,0,0,0,0,0,1,0,2,4,0,0,0,0.6717,38.1974,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_1_0_0
C01455,2.083333333,1.321759259,2.083333333,1.321759259,0.45880628,92.141,84.077,92.06260026,36,1.0,1.571428571,1.857142857,3.02146531,129.9656602,5.112884175,4.386751346,4.386751346,3.39384685,2.410683603,2.410683603,1.654700538,1.654700538,0.940455735,0.940455735,0.534377897,0.534377897,-0.78,4.380771704,1.78328604,1.038264132,43.79634523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.89528683,6.9237372,0.0,0.0,0.0,0.0,0.0,0.0,6.9237372,0.0,35.89528683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9237372,5.563451492,30.33183534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.563451492,0.0,19.05647134,0.0,0.0,0.0,13.66666667,0.142857143,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1.99502,31.179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_0_0_1_0_0
C02137,10.74490741,-1.420185185,10.74490741,0.208333333,0.5041163,150.133,144.085,150.0316941,56,1.090909091,1.636363636,2.090909091,2.947980343,276.6484617,8.267584714,5.650461522,5.650461522,5.215214055,3.042538691,3.042538691,2.000302113,2.000302113,1.230220715,1.230220715,0.713002855,0.713002855,-1.64,7.466837607,2.964319184,1.639878337,63.2785653,5.106527395,0.0,0.0,0.0,5.969305288,4.794537184,4.794537184,0.0,0.0,30.33183534,0.0,5.563451492,0.0,14.69560176,11.75255023,0.0,0.0,0.0,0.0,35.89528683,0.0,0.0,0.0,0.0,0.0,16.85907763,4.794537184,0.0,10.35798868,30.33183534,0.0,54.37,11.75255023,9.589074368,5.563451492,0.0,0.0,12.13273414,18.19910121,0.0,5.106527395,0.0,0.0,35.0,0.0,11,1,3,0,0,0,1,0,1,2,1,3,2,0,0,1,0.9539,38.4083,1,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1_0_0_1_0_0
C03765,9.99669076,0.231156463,9.99669076,0.231156463,0.618681782,136.15,128.086,136.0524295,52,1.3,1.9,2.4,2.78284959,213.2041299,7.397341226,5.449320013,5.449320013,4.825698503,3.042477944,3.042477944,2.037237992,2.037237992,1.255375899,1.255375899,0.728255739,0.728255739,-1.31,6.805074799,3.011779445,1.584972124,59.1170432,9.901064579,12.03567236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13273414,17.69618563,6.420821623,0.0,9.901064579,6.286160523,0.0,0.0,6.420821623,0.0,29.82891977,5.749511833,0.0,0.0,5.749511833,0.0,11.39268792,11.21535881,0.0,5.563451492,24.26546827,0.0,37.3,0.0,4.794537184,5.749511833,6.420821623,11.84961201,0.0,24.26546827,0.0,5.106527395,0.0,0.0,27.83333333,0.125,10,1,2,0,0,0,1,0,1,2,1,2,2,0,0,1,1.1336,37.8748,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1_0_0_1_0_0
