CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1_EC2_EC3_EC4_EC5_EC6
C00168,9.662037037,-1.594907407,9.662037037,0.921296296,0.423771644,104.061,100.029,104.0109586,40,1.428571429,1.857142857,1.857142857,3.577919926,95.10802962,5.86180732,3.418030553,3.418030553,3.180739213,1.551636245,1.551636245,0.886442783,0.886442783,0.382142602,0.382142602,0.0676302,0.0676302,-0.9,6.1,2.303977425,1.884313726,39.38064696,10.21305479,6.606881965,0.0,0.0,5.969305288,4.794537184,4.794537184,0.0,0.0,0.0,0.0,0.0,0.0,19.80212916,11.75255023,0.0,0.0,0.0,6.606881965,0.0,0.0,0.0,0.0,0.0,0.0,28.57248699,9.589074368,0.0,0.0,0.0,0.0,74.6,18.3594322,9.589074368,0.0,0.0,0.0,0.0,0.0,0.0,10.21305479,0.0,0.0,30.83333333,0.333333333,7,2,4,0,0,0,0,0,0,3,2,4,2,0,0,0,-1.3676,19.7286,1,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0_0_0_1_1_0
C03063,10.3537278,-1.540208333,10.3537278,0.10773904,0.451583795,172.136,164.072,172.0371734,66,1.166666667,1.75,2.166666667,3.696899225,227.9512346,9.560477932,6.188086163,6.188086163,5.53658126,3.19339618,3.19339618,2.004185939,2.004185939,1.004881051,1.004881051,0.468468532,0.468468532,-1.65,10.35,5.06049312,5.159860162,68.31233449,10.21305479,0.0,0.0,0.0,11.93861058,9.589074368,4.794537184,0.0,0.0,6.076020107,12.49684173,6.420821623,0.0,24.59666634,17.72185552,0.0,0.0,12.84164325,0.0,12.15204021,0.0,0.0,0.0,0.0,0.0,27.93491031,14.38361155,0.0,12.84164325,12.15204021,0.0,91.67,17.72185552,14.38361155,12.84164325,0.0,6.076020107,6.076020107,0.0,0.0,10.21305479,0.0,0.0,45.0,0.285714286,12,2,5,0,0,0,0,0,0,3,2,5,5,0,0,0,0.0611,38.6526,2,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0_0_0_1_1_0
C03618,10.10185185,-1.321759259,10.10185185,1.043981482,0.480826696,147.13,138.058,147.0531578,58,1.3,1.7,1.8,4.069511909,137.7269405,8.309401077,5.44297458,5.44297458,4.464101615,2.676829091,2.676829091,1.990933894,1.990933894,1.213356653,1.213356653,0.36747082,0.36747082,-1.1,8.9,3.165718374,2.021622759,57.45042189,15.94672227,6.041840829,0.0,0.0,11.93861058,9.589074368,0.0,0.0,0.0,0.0,6.9237372,0.0,5.917906046,19.80212916,11.93861058,0.0,11.65157352,12.96557803,0.0,0.0,0.0,5.733667477,0.0,0.0,0.0,28.19350619,9.589074368,5.917906046,6.9237372,0.0,0.0,100.62,23.89835745,9.589074368,0.0,0.0,0.0,6.9237372,0.0,0.0,15.94672227,0.0,0.0,38.0,0.6,10,4,5,0,0,0,0,0,0,3,3,5,3,0,0,0,-0.881,32.411,2,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_0_1_1_0
C11355,10.67158037,-1.31293698,10.67158037,0.004526644,0.454103698,225.2,214.112,225.0637225,86,1.4375,2.0625,2.5625,2.795772321,396.0135696,12.29252874,8.290380459,8.290380459,7.413591358,4.392858618,4.392858618,3.174423704,3.174423704,1.985015688,1.985015688,1.137769379,1.137769379,-2.08,11.99183908,4.626327317,2.705778899,91.31403744,20.68358522,6.103966388,5.759164872,0.0,11.93861058,0.0,9.589074368,0.0,0.0,12.15204021,12.65495579,0.0,11.61494536,24.53899211,11.93861058,0.0,5.733667477,12.14580722,0.0,36.13926541,0.0,5.733667477,0.0,0.0,0.0,34.29747258,14.32593732,0.0,0.0,36.13926541,0.0,109.85,29.84358266,9.589074368,5.57310453,0.0,0.0,18.22806032,0.0,6.578935684,20.68358522,0.0,0.0,51.83333333,0.2,16,4,6,1,0,1,0,0,0,4,3,6,4,0,0,1,-0.122,54.483,2,0,0,0,0,2,2,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0_0_0_1_1_0
C19822,10.53063964,-0.529907407,10.53063964,0.145277778,0.514778178,144.126,136.062,144.0422587,56,1.8,2.5,3.0,2.653310107,172.5866297,7.560477932,5.279837873,5.279837873,4.736382105,2.902146253,2.902146253,2.007113523,2.007113523,1.237898282,1.237898282,0.679214921,0.679214921,-0.87,7.239529025,2.808975838,1.341918546,57.73206225,14.94991774,12.71084835,5.759164872,5.783244946,0.0,4.794537184,0.0,0.0,0.0,0.0,6.076020107,0.0,6.606881965,19.74445493,5.783244946,0.0,0.0,6.103966388,13.21376393,11.83518498,0.0,0.0,0.0,0.0,0.0,35.31403005,9.531400138,0.0,0.0,11.83518498,0.0,66.76,11.88721133,4.794537184,18.9729288,0.0,0.0,6.076020107,0.0,0.0,14.94991774,0.0,0.0,32.16666667,0.5,10,2,4,0,1,1,0,0,0,4,2,4,1,0,0,1,-0.6115,32.5446,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0_0_0_1_1_0
C01278,10.6127777778,-2.0248842593,10.6127777778,0.7732407407,0.5703259009,186.119,180.071,186.016437912,70,1.4615384615,2.0769230769,2.3846153846,2.906560873,304.1046281211,10.0604779323,6.3892276724,6.3892276724,5.9608315237,3.3356247054,3.3356247054,2.5195879805,2.5195879805,1.5472157138,1.5472157138,0.9604253393,0.9604253393,-1.85,9.2396860987,2.8892158029,1.6604704789,72.4200485625,14.9499177435,6.4208216229,0.0,5.601050811,17.9079158639,4.7945371841,9.5890743681,0.0,0.0,0.0,6.0760201068,6.0760201068,0.0,29.3335292957,17.9079158639,0.0,0.0,12.0218724339,0.0,12.1520402137,0.0,0.0,0.0,0.0,0.0,33.7220214645,19.120474506,0.0,6.4208216229,12.1520402137,0.0,100.9,29.9297882978,14.3836115522,0.0,0.0,12.1520402137,0.0,0.0,4.7368629538,10.2130547897,0.0,0.0,48.25,0.2857142857,13,2,6,0,1,1,0,0,0,4,2,6,3,0,0,1,-0.6025,37.8516,2,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0_0_0_1_1_0
