CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1_EC2_EC3_EC4_EC5_EC6
C00048,9.0,-1.425925926,9.0,0.166666667,0.329267503,74.035,72.019,74.00039392,28,1.8,2.0,2.0,3.204805418,55.913403,4.28445705,2.341060446,2.341060446,2.27005561,0.952108338,0.952108338,0.456088798,0.456088798,0.10081715,0.10081715,0.0,0.0,-0.86,4.14,1.458471338,3.14,28.22147109,5.106527395,0.0,0.0,6.286160523,5.969305288,4.794537184,4.794537184,0.0,0.0,0.0,0.0,0.0,0.0,14.69560176,12.25546581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.36199321,9.589074368,0.0,0.0,0.0,0.0,54.37,5.969305288,0.0,6.286160523,0.0,0.0,0.0,0.0,0.0,14.69560176,0.0,0.0,23.66666667,0.0,5,1,3,0,0,0,0,0,0,2,1,3,1,0,0,0,-0.7301,13.6998,1,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_1_0_1_0_0
C00106,10.21472222,-0.474537037,10.21472222,0.380787037,0.454693981,112.088,108.056,112.0272774,42,1.375,2.125,2.5,3.502117039,246.3619538,5.983127663,3.971197119,3.971197119,3.7876937,2.068931893,2.068931893,1.296045816,1.296045816,0.685866587,0.685866587,0.382688466,0.382688466,-1.32,4.829700599,1.651203466,0.841205377,44.19374328,4.983978521,0.0,0.0,0.0,5.689743398,9.778515705,4.794537184,0.0,0.0,0.0,0.0,12.26321064,0.0,0.0,0.0,9.967957042,0.0,0.0,0.0,33.1012953,0.0,11.24901029,0.0,0.0,0.0,9.967957042,0.0,0.0,0.0,21.85228501,0.0,65.72,5.689743398,9.589074368,5.559266895,0.0,0.0,12.26321064,0.0,4.983978521,0.0,0.0,0.0,26.33333333,0.0,8,2,4,0,0,0,0,1,1,2,2,4,0,0,0,1,-0.9368,27.6834,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_1_0_1_0_0
C00114,8.38625,0.28125,8.38625,0.28125,0.476183932,104.173,90.061,104.1069905,44,1.285714286,1.714285714,1.714285714,3.154490065,46.53206898,5.914213562,5.308640753,5.308640753,3.060660172,2.474096319,2.474096319,2.73753768,2.73753768,0.770820393,0.770820393,0.3,0.3,-0.08,6.92,2.284554637,5.92,44.96305839,9.589558253,6.544756406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.74989791,9.589558253,0.0,0.0,0.0,0.0,34.29465432,0.0,0.0,0.0,0.0,0.0,0.0,43.88421257,0.0,0.0,0.0,0.0,0.0,20.23,0.0,0.0,6.606881965,0.0,11.02778726,0.0,0.0,21.14301595,5.106527395,0.0,0.84375,15.65625,1.0,7,1,2,0,0,0,0,0,0,1,1,2,2,0,0,0,-0.3151,29.9852,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_1_0_1_0_0
C00161,9.655092593,-1.268518519,9.655092593,0.574074074,0.411013892,73.027,72.019,72.99256889,27,1.8,2.0,2.0,3.567703455,74.79398752,5.154700538,2.263710176,2.263710176,2.64273441,0.881855088,0.881855088,0.407214637,0.407214637,0.087310213,0.087310213,0.0,0.0,-0.86,2.381545894,0.544290754,0.41388535,28.22147109,0.0,0.0,0.0,0.0,26.95106757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.69560176,12.25546581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.36199321,9.589074368,0.0,0.0,0.0,0.0,54.37,12.25546581,9.589074368,0.0,0.0,0.0,0.0,0.0,0.0,5.106527395,-0.594907407,0.0,24.92824074,0.0,5,1,3,0,0,0,0,0,0,2,1,4,1,0,0,0,-0.8531,12.6428,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_1_0_1_0_0
C00177,6.25,4.75,6.25,4.75,0.344374346,26.018,26.018,26.00362258,10,1.5,1.5,1.5,3.0,6.754887502,2.0,0.947213596,0.947213596,1.0,0.223606798,0.223606798,0.0,0.0,0.0,0.0,0.0,0.0,-0.51,1.49,0.49,-4.470784314,13.13183071,11.83402844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.57213689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83402844,0.0,0.0,0.0,23.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83402844,0.0,0.0,11.0,0.0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0.09637,4.968,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_1_0_1_0_0
C00189,7.75,0.097222222,7.75,0.097222222,0.405578416,61.084,54.028,61.05276384,26,1.75,2.0,2.0,1.974744871,8.0,3.414213562,2.438777427,2.438777427,1.914213562,1.224476057,1.224476057,0.512281932,0.512281932,0.129099445,0.129099445,0.0,0.0,-0.08,3.92,2.92,1.92,25.23831759,10.84019487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.544756406,6.606881965,5.106527395,0.0,0.0,5.733667477,0.0,13.15163837,0.0,0.0,5.733667477,0.0,0.0,0.0,18.25816577,0.0,0.0,0.0,0.0,0.0,46.25,0.0,0.0,6.606881965,6.544756406,0.0,0.0,0.0,0.0,10.84019487,0.0,0.0,13.0,1.0,4,3,2,0,0,0,0,0,0,2,2,2,1,0,0,0,-1.0626,16.1402,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_1_0_1_0_0
C00222,9.368055556,-1.078703704,9.368055556,0.349537037,0.370814554,88.062,84.03,88.01604399,34,1.833333333,2.333333333,2.333333333,3.046489081,66.4385619,4.991563832,3.048167227,3.048167227,2.77005561,1.425234884,1.425234884,0.764529355,0.764529355,0.25795376,0.25795376,0.071288491,0.071288491,-0.86,5.14,2.381545894,3.14,34.58641321,9.901064579,12.70698215,0.0,0.0,5.969305288,4.794537184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.69560176,12.25546581,0.0,0.0,6.420821623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.36199321,9.589074368,0.0,6.420821623,0.0,0.0,54.37,5.969305288,9.589074368,6.420821623,6.286160523,0.0,0.0,0.0,0.0,5.106527395,0.0,0.0,25.16666667,0.333333333,6,1,3,0,0,0,0,0,0,2,1,3,2,0,0,0,-0.34,18.3168,1,0,0,0,0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_1_0_1_0_0
C00283,0.0,0.0,0.0,0.0,0.356419788,34.083,32.067,33.98772106,8,1.0,1.0,1.0,0.0,0.0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,1.35,1.207142857,7.778571429,14.56133221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49569335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1128,10.381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_1_0_1_0_0
C00441,9.805324074,-1.141574074,9.805324074,0.115740741,0.463811686,117.104,110.048,117.0425931,46,1.875,2.375,2.5,3.463890774,101.4565452,6.568914101,4.202867765,4.202867765,3.680739213,2.101938252,2.101938252,1.347099667,1.347099667,0.667356346,0.667356346,0.204485228,0.204485228,-0.9,7.1,3.147411228,2.303977425,46.29124602,15.63473206,12.32800135,0.0,0.0,5.969305288,4.794537184,0.0,0.0,0.0,0.0,0.0,6.420821623,0.0,14.69560176,12.25546581,0.0,5.733667477,12.46266245,0.0,0.0,0.0,5.733667477,0.0,0.0,0.0,23.40383404,9.589074368,0.0,6.420821623,0.0,0.0,80.39,12.01114612,9.589074368,6.420821623,6.286160523,0.0,0.0,0.0,0.0,10.84019487,0.0,0.0,30.5,0.5,8,3,4,0,0,0,0,0,0,3,2,4,3,0,0,0,-1.0127,26.2922,1,0,0,0,0,1,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_1_0_1_0_0
C00463,3.119537037,1.206018519,3.119537037,1.206018519,0.543915591,117.151,110.095,117.0578492,44,1.0,1.888888889,2.777777778,2.95465979,278.5454212,6.104448007,4.964101615,4.964101615,4.466326495,2.988033872,2.988033872,2.064921349,2.064921349,1.462517642,1.462517642,0.995014113,0.995014113,-1.24,4.621116324,1.621724282,0.616663403,53.32222807,4.983978521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.19910121,17.51895835,11.71354429,0.0,0.0,10.90292493,4.983978521,0.0,0.0,0.0,36.52867891,0.0,0.0,0.0,0.0,0.0,4.983978521,0.0,0.0,0.0,36.52867891,10.90292493,15.79,0.0,0.0,0.0,0.0,0.0,10.90292493,0.0,23.18307973,0.0,0.0,0.0,17.83333333,0.0,9,1,1,0,0,0,1,1,2,0,1,1,0,0,0,2,2.1679,38.2987,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1_1_0_1_0_0
