CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1_EC2_EC3_EC4_EC5_EC6
C00014,0.0,0.0,0.0,0.0,0.397555062,17.031,14.007,17.0265491,8,1.0,1.0,1.0,0.0,0.0,0.0,0.707106781,0.707106781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04,0.96,-27.04,-104.04,7.504228124,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,6.15054635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0.162,5.0221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1_1_1_1_0_1
C00152,9.993055556,-1.214074074,9.993055556,0.310185185,0.423939477,132.119,124.055,132.0534921,52,1.555555556,2.0,2.111111111,3.632432152,133.7744375,7.439157589,4.702867765,4.702867765,4.03658126,2.304340372,2.304340372,1.615167728,1.615167728,0.738295074,0.738295074,0.304056349,0.304056349,-1.1,7.9,3.032306527,3.479710145,51.63113672,16.57386235,6.041840829,0.0,5.907179729,5.969305288,9.589074368,0.0,0.0,0.0,0.0,0.0,0.0,6.420821623,14.69560176,11.87648502,0.0,11.46733495,12.46266245,0.0,0.0,0.0,11.46733495,0.0,0.0,0.0,23.02485324,9.589074368,0.0,6.420821623,0.0,0.0,106.41,17.91832585,9.589074368,6.420821623,0.0,0.0,0.0,0.0,5.733667477,10.84019487,0.0,0.0,34.16666667,0.5,9,5,5,0,0,0,0,0,0,3,3,5,3,0,0,0,-1.7263,29.4226,1,0,0,0,0,1,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1_1_1_1_0_1
C00164,9.873333333,-1.0625,9.873333333,0.3125,0.500996499,102.089,96.041,102.0316941,40,1.571428571,2.0,2.0,3.31801959,83.10802962,5.86180732,3.970816958,3.970816958,3.125897658,1.838961869,1.838961869,1.272530342,1.272530342,0.400171204,0.400171204,0.212963369,0.212963369,-0.86,6.14,2.336829675,5.14,40.95135532,5.106527395,12.20406657,0.0,0.0,5.969305288,9.589074368,0.0,0.0,0.0,0.0,6.9237372,0.0,0.0,14.69560176,11.75255023,0.0,0.0,13.34455882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.85907763,9.589074368,0.0,13.34455882,0.0,0.0,54.37,5.969305288,9.589074368,12.20406657,0.0,0.0,6.9237372,0.0,0.0,5.106527395,0.0,0.0,26.83333333,0.5,7,1,3,0,0,0,0,0,0,2,1,3,2,0,0,0,0.0501,22.9338,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1_1_1_1_0_1
C00009,8.8819444444,-4.6388888889,8.8819444444,4.6388888889,0.3418906594,97.994,94.97,97.976895206,32,1.2,1.2,1.2,3.4720664956,49.7835398657,4.5,2.1971026725,3.0915298635,2.0,0.7825741858,2.3477225575,0.5132771316,1.5398313947,0.0,0.0,0.0,0.0,0.11,5.11,1.0648297578,1512.242231405,28.3066208445,14.6802348083,0.0,0.0,0.0,7.8226971231,0.0,4.5650482849,0.0,0.0,0.0,0.0,0.0,0.0,19.2452830932,7.8226971231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8226971231,14.6802348083,4.5650482849,0.0,0.0,0.0,0.0,77.76,7.8226971231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2452830932,0.0,8.8819444444,16.9236111111,0.0,5,3,4,0,0,0,0,0,0,1,3,5,0,0,0,0,-0.9286,14.2629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1_1_1_1_0_1
C00022,9.5439814815,-1.3796296296,9.5439814815,0.8240740741,0.4459283846,88.062,84.03,88.016043988,34,1.5,1.6666666667,1.6666666667,3.567703455,72.0391000173,5.1547005384,3.2637101764,3.2637101764,2.6427344101,1.3818550882,1.3818550882,0.8613387823,0.8613387823,0.3011756846,0.3011756846,0.0,0.0,-0.86,5.14,1.545017487,1.4584713376,34.5864132089,5.1065273948,0.0,0.0,5.7832449464,5.969305288,4.7945371841,4.7945371841,0.0,0.0,0.0,0.0,6.9237371997,0.0,14.695601763,11.7525502343,0.0,0.0,6.9237371997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.8590776292,9.5890743681,0.0,6.9237371997,0.0,0.0,54.37,11.7525502343,9.5890743681,0.0,0.0,6.9237371997,0.0,0.0,0.0,5.1065273948,0.0,0.0,25.3333333333,0.3333333333,6,1,3,0,0,0,0,0,0,2,1,3,1,0,0,0,-0.34,18.3168,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1_1_1_1_0_1
