CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1_EC2_EC3_EC4_EC5_EC6
C01035,9.931274093,-0.82837774,9.931274093,0.111388889,0.239409287,145.162,134.074,145.0851266,58,1.7,2.3,2.7,3.05508994,118.854753,7.983127663,5.554132499,5.554132499,4.625897658,2.923512859,2.923512859,1.837743764,1.837743764,0.882869282,0.882869282,0.462671204,0.462671204,-1.26,8.74,4.602967288,6.74,58.72987922,16.15698348,0.0,5.959554569,0.0,5.969305288,10.20382079,0.0,0.0,0.0,0.0,6.420821623,12.96557803,0.0,9.901064579,11.92885986,5.316788604,5.733667477,12.84164325,6.544756406,0.0,0.0,11.05045608,0.0,0.0,0.0,23.58014366,4.794537184,5.409283606,12.84164325,0.0,0.0,99.2,5.969305288,4.794537184,12.38037619,12.96557803,0.0,0.0,0.0,5.316788604,16.24947848,0.0,0.0,32.33333333,0.6,10,5,5,0,0,0,0,0,0,2,4,5,4,0,0,0,-0.66573,36.7866,1,0,0,0,0,1,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_0
C01043,10.11958333,-1.07287037,10.11958333,0.351851852,0.509326167,132.119,124.055,132.0534921,52,1.666666667,2.111111111,2.222222222,3.632432152,133.7744375,7.439157589,4.995380822,4.995380822,4.03658126,2.261131773,2.261131773,1.588038541,1.588038541,0.748654578,0.748654578,0.280809009,0.280809009,-1.26,7.74,2.907105656,3.33347181,52.05107969,15.7401046,6.544756406,0.0,0.0,12.0004198,4.794537184,4.794537184,0.0,0.0,0.0,0.0,7.047671983,0.0,14.69560176,12.0004198,4.899909731,5.733667477,0.0,13.59242839,0.0,0.0,5.733667477,4.794537184,0.0,0.0,35.59928531,4.794537184,0.0,0.0,0.0,0.0,83.63,12.0004198,9.589074368,6.544756406,0.0,4.899909731,7.047671983,0.0,0.0,10.84019487,0.0,0.0,32.83333333,0.5,9,3,5,0,0,0,0,0,0,2,2,5,2,0,0,0,-0.9185,29.8492,1,0,0,0,0,1,1,2,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0_0_1_0_0_0
C01044,10.14018519,-1.361574074,10.14018519,0.154490741,0.432749335,161.113,154.057,161.0324223,62,1.454545455,2.0,2.272727273,3.985766205,177.7115907,8.853371151,5.480979382,5.480979382,5.074586063,2.718991231,2.718991231,1.773204011,1.773204011,0.946066131,0.946066131,0.474277908,0.474277908,-1.59,9.41,4.261190526,3.90240921,61.82191547,15.52984339,6.041840829,0.0,6.410095306,11.93861058,9.589074368,4.794537184,0.0,0.0,0.0,0.0,0.0,6.420821623,24.59666634,18.34870588,5.316788604,0.0,12.46266245,0.0,0.0,0.0,5.316788604,0.0,0.0,0.0,34.6036015,14.38361155,0.0,6.420821623,0.0,0.0,103.7,24.40127303,14.38361155,6.410095306,0.0,0.0,0.0,0.0,0.0,10.21305479,0.0,0.0,43.66666667,0.4,11,3,6,0,0,0,0,0,0,3,3,6,5,0,0,0,-1.3397,32.8763,2,0,0,0,0,2,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_0
C01047,10.81050076,-1.07009401,10.81050076,0.158148148,0.514273269,174.2,160.088,174.1004423,70,1.583333333,2.166666667,2.583333333,3.537059907,170.0344236,9.560477932,7.039731058,7.039731058,5.574586063,3.826325409,3.826325409,2.436912296,2.436912296,1.37354676,1.37354676,0.695628885,0.695628885,-1.1,10.9,5.537596215,4.675103106,70.93593455,16.15698348,6.041840829,0.0,5.907179729,5.969305288,9.589074368,0.0,0.0,0.0,0.0,13.34455882,12.96557803,0.0,14.69560176,11.87648502,5.316788604,5.733667477,25.80722127,6.544756406,0.0,0.0,11.05045608,0.0,0.0,0.0,29.56960965,9.589074368,0.0,19.76538045,0.0,0.0,92.42,12.01114612,9.589074368,18.74882298,6.544756406,0.0,0.0,6.9237372,5.316788604,10.84019487,0.0,0.0,37.66666667,0.714285714,12,4,5,0,0,0,0,0,0,3,3,5,5,0,0,0,-0.6854,43.5289,1,0,0,0,0,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_0
C01066,10.45263889,0.112268519,10.45263889,0.112268519,0.432075762,112.128,104.064,112.0524295,44,1.0,1.5,1.75,2.451593432,112.490225,5.983127663,4.644923706,4.644923706,3.7876937,2.822461853,2.822461853,2.107680355,2.107680355,1.305568494,1.305568494,0.879415813,0.879415813,-0.66,5.476239782,2.072421168,1.152993778,47.88117465,0.0,11.56648989,0.0,0.0,0.0,9.589074368,0.0,0.0,0.0,0.0,6.420821623,12.84164325,6.420821623,9.589074368,11.56648989,0.0,0.0,25.68328649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.56648989,9.589074368,0.0,25.68328649,0.0,0.0,34.14,0.0,9.589074368,17.98731152,12.84164325,6.420821623,0.0,0.0,0.0,0.0,0.0,0.0,23.33333333,0.666666667,8,0,2,1,0,1,0,0,0,2,0,2,0,0,1,1,0.6986,28.482,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0_0_1_0_0_0
C01073,10.1211952,-0.899305556,10.1211952,0.014305556,0.547153366,131.131,122.059,131.0582431,52,1.555555556,2.111111111,2.444444444,3.102825942,107.3715149,7.276020882,5.177923739,5.177923739,4.125897658,2.588961869,2.588961869,1.626701456,1.626701456,0.71281095,0.71281095,0.345463772,0.345463772,-1.06,7.94,3.884108522,6.94,52.86615962,10.423316,0.0,0.0,5.907179729,5.969305288,9.589074368,0.0,0.0,0.0,0.0,0.0,13.46849361,6.420821623,14.69560176,11.87648502,5.316788604,0.0,13.34455882,6.544756406,0.0,0.0,5.316788604,0.0,0.0,0.0,23.52776882,9.589074368,0.0,13.34455882,0.0,0.0,66.4,5.969305288,9.589074368,18.87275776,0.0,0.0,6.9237372,0.0,5.316788604,5.106527395,0.0,0.0,30.83333333,0.6,9,2,4,0,0,0,0,0,0,2,2,4,3,0,0,0,-0.4028,30.9365,1,0,0,0,0,1,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_0
C01075,10.48396723,-4.660822586,10.48396723,0.658847553,0.28142548,259.236,246.132,259.0361874,96,1.1875,1.75,2.1875,2.795061478,331.4202369,12.50807169,7.962919267,8.779415847,7.259037475,4.312517379,5.752580708,3.347557724,4.533392664,2.185151859,2.755176731,1.396178112,1.995955557,-0.33,13.73381621,4.892948302,3.085145941,91.16248639,25.16297253,24.35373999,6.290026729,0.0,10.30416488,4.552749874,0.0,13.13989185,0.0,0.0,0.0,0.0,6.606881965,38.13351939,10.30416488,4.722094865,0.0,30.64376672,6.606881965,0.0,0.0,4.722094865,0.0,0.0,0.0,70.64730512,15.04102783,0.0,0.0,0.0,0.0,156.55,47.55481356,23.73737917,0.0,0.0,0.0,4.722094865,0.0,4.736862954,9.659277269,0.0,29.43505913,34.30909679,1.0,16,6,9,0,1,1,0,0,0,7,6,10,3,1,1,1,-3.8213,48.4515,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_0
C01109,10.33156557,-1.173703704,10.33156557,0.027685185,0.447905577,158.157,148.077,158.0691422,62,1.545454546,2.0,2.272727273,3.953866713,200.0040765,9.016507858,5.909974546,5.909974546,4.947264863,2.907893762,2.907893762,2.116659046,2.116659046,1.131971963,1.131971963,0.453361163,0.453361163,-1.36,9.64,3.722155383,3.364857256,63.67141791,16.57386235,6.041840829,0.0,5.907179729,5.969305288,9.589074368,0.0,0.0,0.0,6.578935684,0.0,11.99392615,0.0,14.69560176,11.87648502,0.0,11.46733495,12.46266245,0.0,12.15204021,0.0,11.46733495,0.0,0.0,0.0,23.02485324,9.589074368,0.0,6.420821623,12.15204021,0.0,106.41,17.91832585,9.589074368,11.99392615,0.0,0.0,0.0,0.0,6.578935684,16.57386235,0.0,0.0,38.83333333,0.333333333,11,5,5,0,0,0,0,0,0,3,3,5,4,0,0,0,-1.1701,38.5626,1,0,0,0,0,1,1,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0_0_1_0_0_0
C01114,10.41046296,-1.502638889,10.41046296,0.468287037,0.361531935,148.114,140.05,148.0371734,58,1.5,2.1,2.3,2.612422627,144.9737366,7.723614639,5.097294956,5.097294956,4.66390246,2.840166188,2.840166188,2.093342397,2.093342397,1.393376601,1.393376601,0.776631551,0.776631551,-0.65,7.456951872,2.531037748,0.98454559,56.85095692,20.05644514,6.103966388,12.20793278,0.0,5.969305288,0.0,4.794537184,0.0,0.0,0.0,0.0,0.0,6.606881965,24.85098232,5.969305288,0.0,0.0,18.31189916,6.606881965,0.0,0.0,0.0,0.0,0.0,0.0,46.2076686,9.531400138,0.0,0.0,0.0,0.0,86.99,30.88808642,4.794537184,0.0,0.0,0.0,0.0,0.0,4.736862954,15.31958218,0.0,0.0,35.66666667,0.8,10,3,5,0,1,1,0,0,0,5,3,5,1,1,1,1,-2.3741,28.9794,0,3,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0_0_1_0_0_0
C01138,12.15318974,-5.386505182,12.15318974,0.071093134,0.042272535,661.559,621.239,661.2320002,254,0.931818182,1.5,1.977272727,2.018108276,1090.360011,33.30867212,23.40472175,24.29914894,20.39232084,13.1564674,14.68676414,10.53975482,11.73172723,7.687727928,8.205788281,5.444664328,6.017614389,-2.12,36.3492295,14.11034132,7.462451725,249.3533987,86.79114016,42.72776471,36.38637393,0.0,7.822697123,20.13685156,4.565048285,0.0,0.0,0.0,13.97140918,0.0,36.94033723,73.25677202,26.02796678,15.95036581,11.46733495,98.16606145,13.65455395,0.0,0.0,27.41770077,0.0,0.0,7.822697123,163.5281354,32.83078445,10.81856721,6.9237372,0.0,0.0,377.96,117.5910125,49.78557304,6.286160523,0.0,0.0,13.97140918,0.0,15.95036581,45.75710114,0.0,16.45512944,120.1004261,0.857142857,44,17,22,1,2,3,0,0,0,16,15,23,11,2,3,3,-7.62476,142.3092,0,6,5,0,0,0,0,1,1,0,5,2,1,0,0,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0_0_1_0_0_0
