CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1_EC2_EC3_EC4_EC5_EC6
C00327,10.19030896,-1.033263889,10.19030896,0.328981482,0.394159185,175.188,162.084,175.0956913,70,1.5,2.083333333,2.5,3.311835207,171.4212455,9.560477932,6.617081328,6.617081328,5.53658126,3.554340372,3.554340372,2.377986731,2.377986731,1.308333338,1.308333338,0.657038731,0.657038731,-1.3,10.7,5.363379356,5.48222978,69.91088313,21.89065095,6.041840829,0.0,0.0,12.0004198,4.794537184,4.794537184,0.0,0.0,0.0,12.84164325,6.544756406,0.0,14.69560176,12.0004198,5.316788604,11.46733495,18.88348408,6.544756406,0.0,0.0,16.78412356,4.794537184,0.0,0.0,29.69354443,4.794537184,0.0,12.84164325,0.0,0.0,118.44,18.04226063,9.589074368,0.0,19.38639965,0.0,0.0,0.0,5.316788604,16.57386235,0.0,0.0,39.66666667,0.666666667,12,6,6,0,0,0,0,0,0,3,4,6,5,0,0,0,-1.1532,42.4313,1,0,0,0,0,1,1,2,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0_0_1_0_0_1
C00993,10.75824074,-1.07037037,10.75824074,0.458425926,0.489453742,160.173,148.077,160.0847922,64,1.454545455,1.909090909,2.181818182,3.853318406,167.2103308,9.016507858,6.495760984,6.495760984,4.947264863,3.235914364,3.235914364,2.357188977,2.357188977,1.142754525,1.142754525,0.406571847,0.406571847,-1.1,9.9,3.922385425,3.566442219,64.57099243,16.15698348,6.041840829,0.0,5.907179729,5.969305288,9.589074368,0.0,0.0,0.0,0.0,13.8474744,0.0,6.041840829,14.69560176,11.87648502,5.316788604,5.733667477,25.93115606,0.0,0.0,0.0,11.05045608,0.0,0.0,0.0,29.06669407,9.589074368,0.0,13.8474744,0.0,0.0,92.42,23.96016668,9.589074368,0.0,0.0,0.0,13.8474744,0.0,5.316788604,10.84019487,0.0,0.0,36.5,0.666666667,11,4,5,0,0,0,0,0,0,3,3,5,3,0,0,0,-1.0771,38.8899,1,0,0,0,0,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_1
C01042,10.37272298,-1.354074074,10.37272298,0.566064815,0.510675744,175.14,166.068,175.0480724,68,1.333333333,1.833333333,2.083333333,4.135982327,195.9839845,9.723614639,6.403629113,6.403629113,5.43042811,3.148737981,3.148737981,2.189209999,2.189209999,1.054334274,1.054334274,0.620059625,0.620059625,-1.59,10.41,4.321535173,4.261190526,68.18685759,15.52984339,6.041840829,0.0,5.907179729,11.93861058,9.589074368,4.794537184,0.0,0.0,0.0,0.0,6.9237372,6.420821623,24.59666634,17.84579031,5.316788604,0.0,19.38639965,0.0,0.0,0.0,5.316788604,0.0,0.0,0.0,34.10068592,14.38361155,0.0,13.34455882,0.0,0.0,103.7,30.30845276,14.38361155,0.0,0.0,6.9237372,0.0,0.0,0.0,10.21305479,0.0,0.0,45.33333333,0.5,12,3,6,0,0,0,0,0,0,3,3,6,4,0,0,0,-0.9496,37.4933,2,0,0,0,0,2,2,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_1
C12270,11.77382039,-1.487358277,11.77382039,0.36481198,0.338752058,304.255,288.127,304.0906655,118,0.904761905,1.476190476,1.857142857,4.800890531,431.5041825,16.57698579,11.15890312,11.15890312,9.628805413,5.86974502,5.86974502,4.182797872,4.182797872,2.334191957,2.334191957,1.426765128,1.426765128,-2.65,18.35,8.50670208,8.18391639,118.6787083,25.95315939,12.08368166,0.0,11.81435946,17.90791586,19.17814874,4.794537184,0.0,0.0,0.0,6.420821623,13.34455882,6.420821623,39.2922681,29.72227532,10.63357721,0.0,38.26988373,0.0,0.0,0.0,10.63357721,0.0,0.0,0.0,57.12553917,23.97268592,0.0,26.18620207,0.0,0.0,170.1,54.64760023,23.97268592,6.420821623,0.0,6.9237372,0.0,0.0,5.316788604,15.31958218,0.0,0.0,75.5,0.545454546,21,5,10,0,0,0,0,0,0,5,5,10,9,0,0,0,-1.6,66.2938,3,0,0,0,0,3,3,5,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0_0_1_0_0_1
