CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1,EC2,EC3,EC4,EC5,EC6
C18261,10.0412570074,0.3238147203,10.0412570074,0.3238147203,0.5088335192,248.281,236.185,248.083729624,92,0.7368421053,1.3157894737,2.0526315789,2.3913650706,909.1036368001,12.9827631842,10.4742640395,10.4742640395,9.2920249979,6.2287136435,6.2287136435,4.7749825314,4.7749825314,3.821494691,3.821494691,2.9368734936,2.9368734936,-2.48,10.4432061274,3.5128199543,1.2562967498,109.7281426909,9.8433903486,11.4990236666,0,0,0,0,0,0,0,30.3318353423,28.9715496343,21.5448968579,7.1097975413,9.8433903486,32.3173452868,0,0,0,7.1097975413,48.5309365477,11.4990236666,4.7368629538,0,11.4990236666,0,12.2163249361,0,0,0,48.5309365477,32.3173452868,29.46,0,5.1065273948,0,5.7495118333,32.6806329056,5.3862242145,13.1761646097,18.1991012054,4.7368629538,0,0,40.8333333333,0.0588235294,19,1,2,0,0,0,4,0,4,2,1,2,1,0,0,4,4.2982,78.3628,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
C18277,11.8360152116,-1.0716690812,11.8360152116,0.1072973356,0.5322815658,316.312,304.216,316.073558864,116,0.625,1.3333333333,2.0833333333,2.3758383821,1158.5363536481,16.8445705038,12.4844264638,12.4844264638,11.5753874005,7.4148629627,7.4148629627,5.6473771062,5.6473771062,4.3265384604,4.3265384604,3.3261023762,3.3261023762,-3.4,14.2087331227,5.061972588,1.9326490359,136.117792648,10.2130547897,0,0,0,11.9386105759,0,9.5890743681,0,0,48.5309365477,33.6776309948,10.7724484289,11.1269029834,19.8021291578,44.2559558627,0,0,0,0,71.790573668,0,0,0,0,0,22.1516653656,0,0,20.7159773515,60.6636706846,32.3173452868,74.6,11.9386105759,19.8021291578,11.1269029834,16.1586726434,16.1586726434,6.0663670685,18.1991012054,0,0,0,0,62.6666666667,0,24,2,4,0,0,0,4,0,4,2,2,4,2,0,0,4,4.5426,92.8786,0,0,0,0,0,2,2,2,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
C18295,11.4857304145,-1.0678011172,11.4857304145,0.0111942555,0.2909299408,351.314,338.21,351.074287136,130,0.6923076923,1.2692307692,1.9615384615,2.2806878672,1262.30388883,18.7481941866,13.1857681523,13.1857681523,12.307438208,7.586901012,7.586901012,6.0053735142,6.0053735142,4.4896338608,4.4896338608,3.3727275287,3.3727275287,-3.87,15.6457155731,5.0613879619,1.9084070301,145.3139203871,31.2663044514,34.3110106581,0,0,0,4.7945371841,0,0,0,12.1327341369,40.4241409172,0,16.1586726434,30.3271741583,38.2245250161,0,5.7336674772,0,0,41.9616539025,28.7475591664,5.7336674772,0,28.7475591664,0,31.4398167036,0,0,10.3579886758,36.3982024108,32.3173452868,144.24,28.7191667209,30.3271741583,33.0439205244,10.7724484289,0,18.1991012054,18.1991012054,0,5.7336674772,0,0,74.6666666667,0,26,7,7,0,0,0,4,0,4,6,6,7,1,0,0,4,2.7731,95.8019,0,0,0,0,5,0,0,1,1,0,0,1,0,1,4,3,0,0,0,0,0,0,0,5,3,0,0,1,0,0,1,0,0,0,0
C18297,13.6187892101,-2.759602466,13.6187892101,0.0925166394,0.3285995285,460.87,439.702,460.103728692,168,1.15625,1.78125,2.34375,2.1073396786,1283.2567109668,23.8589246506,17.432635449,18.1885643951,14.8498715267,9.7202519646,10.0982164377,8.4118583148,8.8190584415,6.5628290179,6.8777994121,5.1047255963,5.4039474707,-3.14,22.0682049172,6.92883837,2.5541907825,186.8555995878,26.1597770565,22.8312930683,5.601050811,11.5664898927,0,19.2835212831,0,0,0,11.6009398902,50.6995399083,16.3267635744,16.9915165353,34.8097211316,39.8470579412,4.8999097309,11.6515735233,24.9874504627,14.0953439654,45.1779913275,11.4990236666,5.7336674772,0,11.4990236666,11.6009398902,68.5379245378,16.0098959911,12.8416432459,21.4848916592,23.4650035386,10.7724484289,161.39,52.1162485434,34.8097211316,28.1426424761,16.5131271979,0,17.0326438678,21.019081165,0,17.3346073674,0,0,85.8828321413,0.3181818182,32,6,9,2,0,2,2,0,2,8,5,10,2,0,0,4,1.10922,114.8301,0,2,1,0,2,0,0,3,3,1,0,1,0,1,2,3,0,0,0,2,2,0,0,2,2,0,0,1,0,1,0,0,0,0,0
C18300,5.7295061728,0.6857407407,5.7295061728,0.6857407407,0.547049937,161.031,154.983,159.984655552,48,1.2222222222,1.8888888889,2.3333333333,3.1716780304,218.1561775999,6.8533711511,4.9879797536,6.4998376456,4.1983773028,2.6159983447,3.3719272907,1.8935057901,2.7371416973,1.1338800106,1.7761772401,0.5672276913,0.9757216201,-0.2,6.9136363636,2.5902901465,1.6015136719,64.4028776877,0,0,0,0,0,0,0,0,0,29.2682468489,24.6199228283,10.0452666275,0,0,23.2018797805,0,0,6.9237371997,0,33.8078193246,0,0,0,0,23.2018797805,0,0,6.9237371997,5.5634514917,18.1991012054,0,0,0,0,0,5.0226333137,10.5860848054,0,6.0663670685,0,23.2018797805,0,0,9.8602160494,0.1428571429,9,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,3.30182,41.199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C18301,9.2694444444,-1.0285493827,9.2694444444,0.1741666667,0.6120748421,195.045,186.981,193.990134856,62,1.2727272727,1.8181818182,2.3636363636,3.0113522811,232.5950728393,8.5938581271,5.8824069446,7.3942648366,5.0365812602,3.1323961242,3.8883250702,2.4498470768,3.2934829841,1.6665976459,2.4064848828,0.849169148,1.3628016975,-0.02,9.0710746812,3.1515896435,1.5920084048,74.7388664545,10.2130547897,12.2079327755,0,0,0,0,0,0,0,23.2018797805,18.5728618366,5.0322863521,5.0322863521,10.2130547897,23.2018797805,0,0,19.1316699752,0,21.7136973411,0,0,0,0,23.2018797805,22.4209875652,0,0,6.9237371997,21.7136973411,0,40.46,12.2079327755,10.2130547897,5.0322863521,10.6053908822,0,6.0760201068,6.9237371997,0,23.2018797805,0,0,20.6644444444,0.4285714286,11,2,2,1,0,1,0,0,0,2,2,4,0,0,0,1,1.3573,44.5026,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C18302,9.1490740741,-0.3254012346,9.1490740741,0.0537962963,0.6214842436,193.029,186.981,191.974484792,60,1.0909090909,1.6363636364,2.1818181818,3.4555464838,270.7323147721,8.5938581271,5.7277064062,7.2395642982,5.0365812602,2.9025283377,3.6584572837,2.1624264241,2.9768266776,1.4174198159,2.0981176046,0.6916952725,1.1447679811,-0.6,8.4961538462,2.7966942149,1.3676905091,73.991345192,10.2130547897,0,11.4990236666,0,0,0,0,0,0,23.2018797805,12.9901042682,10.5860848054,5.0226333137,10.2130547897,23.2018797805,0,0,6.9237371997,0,21.6750851876,11.4990236666,0,0,11.4990236666,23.2018797805,10.2130547897,0,6.9237371997,5.5634514917,6.0663670685,0,40.46,0,0,16.5216569803,10.5860848054,0,6.0663670685,6.9237371997,0,33.4149345701,0,0,21.4231481481,0.1428571429,11,2,2,0,0,0,1,0,1,2,2,4,0,0,0,1,2.71302,44.5286,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0
C18305,10.8943518519,-1.4651801461,10.8943518519,0.5859876543,0.5157864877,206.581,199.525,205.998201004,72,1.3076923077,1.7692307692,2.0769230769,4.5561275101,280.6074891244,10.5938581271,6.6518370738,7.4077660198,5.8579484653,3.2306190753,3.6085835483,2.2597221939,2.6669223207,1.2704935503,1.5412695959,0.4333329681,0.5408705873,-1.36,11.64,4.6133195975,3.7058425155,78.6156007134,10.2130547897,10.9501923983,5.7832449464,0,11.9386105759,9.5890743681,4.7945371841,0,0,11.6009398902,6.9237371997,6.0760201068,0,24.5966663419,29.3227954125,0,5.9179060462,6.9237371997,0,11.1083064589,0,0,0,0,11.6009398902,27.934910312,14.3836115522,5.9179060462,6.9237371997,11.1083064589,0,91.67,28.6720479205,14.3836115522,0,6.0760201068,6.9237371997,0,0,0,21.8139946799,0,0,44.0039562862,0.2857142857,13,2,5,0,0,0,0,0,0,3,2,6,4,0,0,0,0.4835,43.3786,2,0,0,0,0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C18311,10.5885563114,-0.9777314815,10.5885563114,0.1968518519,0.5969465701,156.137,148.073,156.042258736,60,1.7272727273,2.3636363636,2.7272727273,2.6436759766,238.8251286939,8.4307214203,6.0861720293,6.0861720293,5.0922241529,3.2043169411,3.2043169411,2.4248688955,2.4248688955,1.4343282885,1.4343282885,0.9000253526,0.9000253526,-1.32,7.7833057851,2.7357094491,1.7972998537,63.4642927103,9.8433903486,12.1799864946,0,0,11.9386105759,9.5890743681,0,0,0,0,12.4968417298,0,6.4208216229,19.4324647168,11.9386105759,0,0,19.7653804455,0,11.3322694017,0,0,0,0,0,17.0451379707,14.3259373219,0,19.7653804455,11.3322694017,0,63.6,5.969305288,9.5890743681,18.8109485338,5.7591648717,5.5731045301,0,6.9237371997,4.7368629538,5.1065273948,0,0,35.1666666667,0.4285714286,11,1,4,0,1,1,0,0,0,3,1,4,2,0,0,1,0.682,35.6618,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
C18314,10.5989814815,-1.705,10.5989814815,0.5182407407,0.4421029362,200.146,192.082,200.032087976,76,1.1428571429,1.7142857143,2.1428571429,3.2406115209,339.7406671095,10.8783151775,6.9147520397,6.9147520397,6.4472648627,3.6992099346,3.6992099346,2.7322019512,2.7322019512,1.8303157853,1.8303157853,1.1481262185,1.1481262185,-1.66,10.4210372771,3.6045866458,1.6558179558,78.4087878196,20.4261095794,12.2079327755,0,0,11.9386105759,0,9.5890743681,0,0,6.0760201068,6.0760201068,0,11.1462090601,30.0151839475,11.9386105759,0,0,12.2079327755,0,23.2982492738,0,0,0,0,0,44.5726529308,9.5890743681,0,0,23.2982492738,0,115.06,35.2927524115,14.695601763,0,0,12.1520402137,0,0,0,15.3195821845,0,0,51.3333333333,0.25,14,4,6,1,0,1,0,0,0,4,4,6,2,0,0,1,-1.2562,43.4512,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
