CIDs,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_Ar_N,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_NH0,fr_NH1,fr_NH2,fr_aldehyde,fr_amide,fr_benzene,fr_bicyclic,fr_epoxide,fr_ester,fr_ether,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_oxime,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_priamide,fr_urea,EC1,EC2,EC3,EC4,EC5,EC6
C06629,11.53984564,-1.06670801,11.53984564,0.005009448,0.286010184,365.341,350.221,365.0899372,136,0.814814815,1.481481482,2.148148148,2.332256161,1309.585992,19.61843767,14.10841788,14.10841788,12.73495856,8.009550743,8.009550743,6.402702614,6.402702614,4.923910933,4.923910933,3.66756649,3.66756649,-3.87,16.59050635,5.311552663,2.050557341,151.6788625,31.26630445,34.31101066,0,0,0,4.794537184,0,0,0,12.13273414,46.84496254,0,16.15867264,30.32717416,38.22452502,0,5.733667477,6.9237372,0,41.45873833,28.74755917,5.733667477,0,28.74755917,0,31.4398167,0,6.9237372,15.92144017,30.33183534,32.31734529,144.24,28.71916672,30.32717416,33.04392052,16.33589992,0,12.13273414,25.12283841,0,5.733667477,0,0,76.33333333,0.05,27,7,7,0,0,0,4,0,4,6,6,7,1,0,0,4,3.08152,100.5389,0,0,0,0,5,0,0,1,1,0,0,1,0,1,4,3,0,0,0,0,0,0,0,5,3,0,0,1,0,1,0,0,0,0,0
C06644,10.00163893,-0.425728213,10.00163893,0.034630575,0.69258734,350.028,341.964,347.9278402,104,0.8,1.4,1.95,2.653387133,674.3184134,14.86144284,9.870386698,12.89410248,9.413591358,5.435193349,6.947051241,3.934463527,5.727492479,2.693189403,3.628124893,1.73973837,2.440041832,-1.06,15.33114334,6.146844082,2.990166606,135.3303109,10.21305479,4.491468174,11.49902367,0,0,0,0,0,0,58.5364937,29.82891977,16.15918934,5.022633314,10.21305479,51.97686409,0,0,0,0,62.0618402,11.49902367,0,0,11.49902367,46.40375956,10.21305479,0,0,11.12690298,40.88967058,5.57310453,40.46,5.749511833,10.21305479,20.82706481,16.15918934,0,12.13273414,24.26546827,0,46.40375956,0,-0.051532502,30.46529921,0,20,2,2,0,0,0,2,0,2,2,2,6,2,0,0,2,5.5991,83.9616,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0
C06649,10.21197844,-1.710298564,10.21197844,0.130021731,0.728405417,388.505,377.417,385.920168,114,0.904761905,1.476190476,2,2.495899129,574.0223177,15.78409257,10.48040198,14.26004671,9.714232621,5.970068776,7.859891141,4.634068985,7.875879931,3.222143356,4.478339664,2.198748541,3.262997419,0.07,17.42427089,6.673910354,3.885207978,147.0707015,10.21305479,12.20793278,0,3.792535936,0,0,0,0,0,76.21345369,29.34531027,10.05491967,5.917906046,10.21305479,58.00469945,0,0,21.91837476,0,57.60898418,0,0,0,0,58.00469945,26.2135235,0,0,11.48135754,47.02289937,0,40.46,21.91837476,10.21305479,5.032286352,16.15918934,0,6.076020107,30.34148838,0,58.00469945,0,-1.710298564,28.32132524,0.285714286,21,2,2,1,0,1,1,0,1,2,2,7,2,0,0,2,4.5783,88.5156,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C06650,10.09160807,-1.744465231,10.09160807,0.009651361,0.497739923,386.489,377.417,383.9045179,112,0.80952381,1.380952381,1.904761905,2.62266475,649.6493224,15.78409257,10.32570144,14.10534617,9.714232621,5.740200989,7.630023354,4.360002836,7.572578128,2.974850809,4.186475496,2.00367863,3.012774265,-0.51,16.85360479,6.312279763,3.636603099,146.3231802,10.21305479,0,11.49902367,3.792535936,0,0,0,0,0,76.20380066,23.7625527,10.58608481,10.94053936,10.21305479,58.00469945,0,0,9.710441982,0,57.57037202,11.49902367,0,0,11.49902367,58.00469945,14.00559073,0,0,17.04480903,36.39820241,0,40.46,21.20946565,10.21305479,10.58608481,10.58608481,0,12.13273414,24.26546827,0,58.00469945,0,-1.744465231,29.15713028,0.142857143,21,2,2,0,0,0,2,0,2,2,2,7,2,0,0,2,5.9067,88.3666,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0
C06656,11.11020657,-0.976041667,11.11020657,0.104697132,0.199711081,228.252,212.124,228.1222404,90,1.6875,2.375,2.75,2.314791639,305.1292232,12.12939203,8.901158216,8.901158216,7.519744508,5.122593883,5.122593883,3.673848654,3.673848654,2.517988263,2.517988263,1.592933063,1.592933063,-1.79,12.28037298,5.336781422,3.110496894,93.10517229,21.05689321,6.041840829,5.959554569,5.907179729,5.969305288,10.20382079,4.794537184,0,0,0,12.84164325,19.51033443,0,14.69560176,17.83603959,10.21669833,5.733667477,25.3043057,13.08951281,0,0,11.05045608,0,0,0,46.97383035,9.589074368,5.409283606,19.26246487,0,0,119.51,12.01114612,9.589074368,11.8667343,32.35197768,0,4.899909731,0,5.316788604,16.24947848,0,0,47.33333333,0.666666667,16,5,7,0,1,1,0,0,0,3,4,7,6,1,1,1,-1.06483,56.9046,1,0,0,0,0,1,1,2,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C06674,10.45920446,-4.313194444,10.45920446,0.442222222,0.43825174,190.176,184.128,189.9935943,66,1.083333333,1.666666667,2.083333333,3.327295999,394.3995138,9.353371151,5.798436466,6.614933046,5.409702168,2.905279132,4.34534246,2.12558699,3.54712419,1.24473822,2.094390804,0.663701037,1.164271458,-1.27,8.823196645,2.649411675,1.659417861,68.64850663,10.21305479,0,11.49902367,0,0,4.552749874,0,8.417796984,0,0,12.13273414,6.066367069,4.895483476,23.18360165,10.11812686,0,0,4.895483476,0,18.19910121,11.49902367,0,0,11.49902367,0,23.18360165,10.11812686,0,0,23.09458468,0,94.83,26.512634,8.417796984,0,0,18.19910121,0,0,0,14.76580466,0,29.40220522,18.8276559,0,12,3,5,0,0,0,1,0,1,4,3,6,1,0,0,1,0.3445,39.5862,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0
C06677,10.499726,-4.019583333,10.499726,0.066574074,0.648272386,172.205,164.141,172.0194151,60,1.181818182,1.636363636,2,3.201515931,336.453365,8.483127663,5.981359544,6.797856125,4.999018566,3.041398869,4.481462198,2.288118869,3.70965607,1.318842288,2.186726505,0.710238422,1.190259532,-0.87,8.228716683,2.636173638,2.027551906,65.42498124,0,0,0,0,0,4.552749874,0,8.417796984,0,17.69618563,19.05647134,0,4.895483476,12.97054686,10.11812686,0,0,11.81922068,0,29.82891977,0,0,0,0,0,12.97054686,10.11812686,6.9237372,5.563451492,29.16095175,0,54.37,10.11812686,8.417796984,4.895483476,0,5.563451492,12.13273414,12.13273414,0,4.552749874,0,29.55154762,8.718035714,0.142857143,11,1,3,0,0,0,1,0,1,2,1,4,1,0,0,1,1.24172,40.9936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C06678,10.52555508,-4.109435941,10.52555508,0.147067271,0.65965647,188.204,180.14,188.0143297,66,1.166666667,1.666666667,2,3.090461035,351.4976952,9.190234444,6.13567992,6.952176501,5.537023368,3.211180026,4.651243355,2.277130774,3.698667974,1.403785401,2.271669618,0.766832141,1.246853251,-0.91,9.180171326,3.220377951,2.036933267,70.219215,5.106527395,0,0,0,0,4.552749874,0,8.417796984,0,12.13273414,17.69618563,0,11.50236544,18.07707425,10.11812686,0,0,11.50236544,0,29.82891977,0,0,0,0,0,18.07707425,16.72500882,0,5.563451492,29.16095175,0,74.6,10.11812686,8.417796984,11.50236544,5.563451492,0,24.26546827,0,0,9.659277269,0,29.61340986,14.24602608,0.142857143,12,2,4,0,0,0,1,0,1,3,2,5,2,0,0,1,0.4256,42.1794,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C06701,8.740740741,-3.12962963,8.740740741,3.12962963,0.38196889,81.995,78.971,81.98198059,26,1.5,1.5,1.5,2.803039488,26.26466251,3.577350269,1.802675482,2.802675482,1.732050808,0.651337741,1.954013222,0.282574186,0.847722558,0,0,0,0,0.15,4.15,1.467460318,126.3722222,23.84082175,9.786823206,0,0,0,8.254871229,4.565048285,0,0,0,0,0,0,0,14.35187149,8.254871229,0,0,0,0,0,0,0,0,0,8.254871229,9.786823206,4.565048285,0,0,0,0,57.53,8.254871229,0,0,0,0,0,0,0,14.35187149,0,8.740740741,11.18518519,0,4,2,3,0,0,0,0,0,0,1,2,4,0,0,0,0,-0.6393,13.4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
C06711,10.03351852,-0.442222222,10.03351852,0.442222222,0.663811191,182.222,172.142,182.0731649,68,0.714285714,1.142857143,1.642857143,2.358276061,442.5991657,9.543605595,7.643366018,7.643366018,6.877010098,4.740249697,4.740249697,3.577037354,3.577037354,2.800926737,2.800926737,2.128988576,2.128988576,-1.6,7.771527778,2.692427286,0.87538485,82.64184204,5.106527395,6.103966388,0,0,0,0,0,0,0,48.53093655,22.25380597,0,0,5.106527395,0,0,0,6.103966388,0,59.65783953,11.12690298,0,0,0,0,5.106527395,0,0,17.23086937,48.53093655,11.12690298,20.23,6.103966388,5.106527395,0,0,22.25380597,0,0,12.13273414,0,0,0,30,0.076923077,14,1,1,1,0,1,2,0,2,1,1,1,0,0,0,3,2.7487,55.9398,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
